Medida;Tipo de medida;Acciones;Descripción de la accion;Área municipal responsable;Colaboradores;Posibles fuentes de financiamiento;Otros medios de implementación;Indicadores de orientación;Medio de verificación;Plazo máximo;Costo;Transformaciones;Comuna;Pagina donde empiezas a extraer la informacion de la fila
Gestión del riesgo de incendios;Adaptación - Mitigación;Servicios Ecosistémicos 3.2;Desarrollar una campaña de información a la población general sobre medidas preventivas, incluyendo protección de viviendas, con especial énfasis en la interfaz urbano-rural.;Emergencias Oficina de Pueblos Originarios Oficina de Organizaciones Comunitarias Dideco;Conaf, Empresas forestales;Financiamiento sectorial del Ministerio de Agricultura Asociaciones público-privadas e inversión privada Subsecretaría de Desarrollo Regional Gobierno Regional;Convenio de colaboración con Conaf Coordinación con actores locales para mesa de trabajo Educación y difusión de medidas preventivas frente a incendios, generando convenios con organismos públicos o empresas privadas para su ejecución;Indicador 1 Porcentaje de superficie incendiada respecto a la totalidad con bosques y plantaciones forestales;Registros de la campaña.;2027;$4.000.000;Conservar y mejorar los servicios ecosistémicos;La Unión;197
Gestión del riesgo de incendios;Adaptación - Mitigación;Servicios Ecosistémicos 3.3;Avanzar la medida por medio de la mesa de trabajo de prevención de incendios forestales donde participa Conaf, comunidades, empresas forestales, asegurando también la participación de pueblos originarios.;Emergencias Oficina de Pueblos Originarios Oficina de Organizaciones Comunitarias Dideco;Conaf, Empresas forestales;Financiamiento sectorial del Ministerio de Agricultura Asociaciones público-privadas e inversión privada Subsecretaría de Desarrollo Regional Gobierno Regional;Convenio de colaboración con Conaf Coordinación con actores locales para mesa de trabajo Educación y difusión de medidas preventivas frente a incendios, generando convenios con organismos públicos o empresas privadas para su ejecución;Indicador 1 Porcentaje de superficie incendiada respecto a la totalidad con bosques y plantaciones forestales;Actas de reuniones de la mesa de trabajo;2025;$0;Conservar y mejorar los servicios ecosistémicos;La Unión;198
Mejorar la gestión y eficiencia del uso del agua a nivel domiciliario y de espacios públicos en zonas urbanas y rurales;Adaptación;Seguridad Hídrica 1.1;Identificar geoespacialmente todas las viviendas urbanas y rurales sin acceso a fuentes de agua mejorada (donde fuente mejorada implica que está ubicada dentro de la vivienda o en el patio o parcela de la misma, está disponible en el momento en que se la necesita, cumple con los estándares para contaminantes fecales y químicos prioritarios);Departamento de Medio Ambiente, Aseo y Ornato SECPLAN Desarrollo Rural DIDECO;SEREMI MINVU CONAF COMITéS APRs;Fondos GORE (FNDR, FRIL FIC-R) Fondos SUBDERE - Programa Mejoramiento Urbano y equipamiento comunal (PMU) Fondos MOP (programas específicos del MOP para mejorar la infraestructura hídrica y tecnológica, programa de financiamiento APRs) Fondos propios del municipio;Coordinación con Comités de APR en la comuna y diagnóstico del estado de los mismos, en cuanto al nivel de eficiencia hídrica y pérdidas en los sistemas. Actualización del PRC, urbanizando zonas densamente pobladas con escasez hídrica sin infraestructura de agua potable y alcantarillado. Incorporar en Plan Regulador Intercomunal de Borde Costero las zonas rurales con riesgo de escasez hídrica.;Indicador 1 Porcentaje de viviendas con soluciones implementadas, en base al total identificado. Indicador 2 Ahorro de agua en riego municipal con respecto a la línea base;Información SIG disponible;2026;$13.000.000;Fortalecer la seguridad hídrica;La Unión;208
Mejorar la gestión y eficiencia del uso del agua a nivel domiciliario y de espacios públicos en zonas urbanas y rurales;Adaptación;Seguridad Hídrica 1.2;Levantar una cartera de soluciones (tecnológicas, basadas en la naturaleza, de planificación territorial y/o de gestión) que mejoren el nivel de acceso a fuentes de agua mejorada y la continuidad del servicio, para las viviendas identificadas en la acción 1.1.;Departamento de Medio Ambiente, Aseo y Ornato SECPLAN Desarrollo Rural DIDECO;SEREMI MINVU CONAF COMITéS APRs;Fondos GORE (FNDR, FRIL FIC-R) Fondos SUBDERE - Programa Mejoramiento Urbano y equipamiento comunal (PMU) Fondos MOP (programas específicos del MOP para mejorar la infraestructura hídrica y tecnológica, programa de financiamiento APRs) Fondos propios del municipio;Coordinación con Comités de APR en la comuna y diagnóstico del estado de los mismos, en cuanto al nivel de eficiencia hídrica y pérdidas en los sistemas. Actualización del PRC, urbanizando zonas densamente pobladas con escasez hídrica sin infraestructura de agua potable y alcantarillado. Incorporar en Plan Regulador Intercomunal de Borde Costero las zonas rurales con riesgo de escasez hídrica.;Indicador 1 Porcentaje de viviendas con soluciones implementadas, en base al total identificado. Indicador 2 Ahorro de agua en riego municipal con respecto a la línea base;Cartera de soluciones;2028;$30.000.000;Fortalecer la seguridad hídrica;La Unión;209
Mejorar la gestión y eficiencia del uso del agua a nivel domiciliario y de espacios públicos en zonas urbanas y rurales;Adaptación;Seguridad Hídrica 1.3;Generar un plan de acción para que las soluciones levantadas se ejecuten, identificando actores responsables, plazos y fuentes de financiamiento.;Departamento de Medio Ambiente, Aseo y Ornato SECPLAN Desarrollo Rural DIDECO;SEREMI MINVU CONAF COMITéS APRs;Fondos GORE (FNDR, FRIL FIC-R) Fondos SUBDERE - Programa Mejoramiento Urbano y equipamiento comunal (PMU) Fondos MOP (programas específicos del MOP para mejorar la infraestructura hídrica y tecnológica, programa de financiamiento APRs) Fondos propios del municipio;Coordinación con Comités de APR en la comuna y diagnóstico del estado de los mismos, en cuanto al nivel de eficiencia hídrica y pérdidas en los sistemas. Actualización del PRC, urbanizando zonas densamente pobladas con escasez hídrica sin infraestructura de agua potable y alcantarillado. Incorporar en Plan Regulador Intercomunal de Borde Costero las zonas rurales con riesgo de escasez hídrica.;Indicador 1 Porcentaje de viviendas con soluciones implementadas, en base al total identificado. Indicador 2 Ahorro de agua en riego municipal con respecto a la línea base;Plan de acción elaborado;2030;$5.000.000;Fortalecer la seguridad hídrica;La Unión;209
Mejorar la gestión y eficiencia del uso del agua a nivel domiciliario y de espacios públicos en zonas urbanas y rurales;Adaptación;Seguridad Hídrica 1.4;Promover participación de APRs en programas de financiamiento enfocados en incrementar su eficiencia hídrica.;Departamento de Medio Ambiente, Aseo y Ornato SECPLAN Desarrollo Rural DIDECO;SEREMI MINVU CONAF COMITéS APRs;Fondos GORE (FNDR, FRIL FIC-R) Fondos SUBDERE - Programa Mejoramiento Urbano y equipamiento comunal (PMU) Fondos MOP (programas específicos del MOP para mejorar la infraestructura hídrica y tecnológica, programa de financiamiento APRs) Fondos propios del municipio;Coordinación con Comités de APR en la comuna y diagnóstico del estado de los mismos, en cuanto al nivel de eficiencia hídrica y pérdidas en los sistemas. Actualización del PRC, urbanizando zonas densamente pobladas con escasez hídrica sin infraestructura de agua potable y alcantarillado. Incorporar en Plan Regulador Intercomunal de Borde Costero las zonas rurales con riesgo de escasez hídrica.;Indicador 1 Porcentaje de viviendas con soluciones implementadas, en base al total identificado. Indicador 2 Ahorro de agua en riego municipal con respecto a la línea base;Mesa de trabajo establecida con comités APR.;2026;$0;Fortalecer la seguridad hídrica;La Unión;210
Mejorar la gestión y eficiencia del uso del agua a nivel domiciliario y de espacios públicos en zonas urbanas y rurales;Adaptación;Seguridad Hídrica 1.5;Reemplazar la vegetación de alto consumo hídrico en espacios públicos por especies nativas seleccionadas.;Departamento de Medio Ambiente, Aseo y Ornato SECPLAN Desarrollo Rural DIDECO;SEREMI MINVU CONAF COMITéS APRs;Fondos GORE (FNDR, FRIL FIC-R) Fondos SUBDERE - Programa Mejoramiento Urbano y equipamiento comunal (PMU) Fondos MOP (programas específicos del MOP para mejorar la infraestructura hídrica y tecnológica, programa de financiamiento APRs) Fondos propios del municipio;Coordinación con Comités de APR en la comuna y diagnóstico del estado de los mismos, en cuanto al nivel de eficiencia hídrica y pérdidas en los sistemas. Actualización del PRC, urbanizando zonas densamente pobladas con escasez hídrica sin infraestructura de agua potable y alcantarillado. Incorporar en Plan Regulador Intercomunal de Borde Costero las zonas rurales con riesgo de escasez hídrica.;Indicador 1 Porcentaje de viviendas con soluciones implementadas, en base al total identificado. Indicador 2 Ahorro de agua en riego municipal con respecto a la línea base;Inventario de vegetación reemplazada;2030;$10.000.000;Fortalecer la seguridad hídrica;La Unión;210
Mejorar la gestión y eficiencia del uso del agua a nivel domiciliario y de espacios públicos en zonas urbanas y rurales;Adaptación;Seguridad Hídrica 1.6;Elaborar y publicar una ordenanza para asegurar que las nuevas áreas verdes tanto públicas como privadas, consideren especies nativas de bajo consumo hídrico.;Departamento de Medio Ambiente, Aseo y Ornato SECPLAN Desarrollo Rural DIDECO;SEREMI MINVU CONAF COMITéS APRs;Fondos GORE (FNDR, FRIL FIC-R) Fondos SUBDERE - Programa Mejoramiento Urbano y equipamiento comunal (PMU) Fondos MOP (programas específicos del MOP para mejorar la infraestructura hídrica y tecnológica, programa de financiamiento APRs) Fondos propios del municipio;Coordinación con Comités de APR en la comuna y diagnóstico del estado de los mismos, en cuanto al nivel de eficiencia hídrica y pérdidas en los sistemas. Actualización del PRC, urbanizando zonas densamente pobladas con escasez hídrica sin infraestructura de agua potable y alcantarillado. Incorporar en Plan Regulador Intercomunal de Borde Costero las zonas rurales con riesgo de escasez hídrica.;Indicador 1 Porcentaje de viviendas con soluciones implementadas, en base al total identificado. Indicador 2 Ahorro de agua en riego municipal con respecto a la línea base;Propuesta de ordenanza presentada al Concejo;2027;$0;Fortalecer la seguridad hídrica;La Unión;210
Mejorar la gestión y eficiencia del uso del agua a nivel domiciliario y de espacios públicos en zonas urbanas y rurales;Adaptación;Seguridad Hídrica 1.7;Definir e implementar una estrategia para fomentar la participación de mujeres y comunidades indígenas en Comités de Agua y en otras instancias de planificación y gestión de agua en la comuna;Departamento de Medio Ambiente, Aseo y Ornato SECPLAN Desarrollo Rural DIDECO;SEREMI MINVU CONAF COMITéS APRs;Fondos GORE (FNDR, FRIL FIC-R) Fondos SUBDERE - Programa Mejoramiento Urbano y equipamiento comunal (PMU) Fondos MOP (programas específicos del MOP para mejorar la infraestructura hídrica y tecnológica, programa de financiamiento APRs) Fondos propios del municipio;Coordinación con Comités de APR en la comuna y diagnóstico del estado de los mismos, en cuanto al nivel de eficiencia hídrica y pérdidas en los sistemas. Actualización del PRC, urbanizando zonas densamente pobladas con escasez hídrica sin infraestructura de agua potable y alcantarillado. Incorporar en Plan Regulador Intercomunal de Borde Costero las zonas rurales con riesgo de escasez hídrica.;Indicador 1 Porcentaje de viviendas con soluciones implementadas, en base al total identificado. Indicador 2 Ahorro de agua en riego municipal con respecto a la línea base;Estrategia disponible e informe de resultados disponible;2026;$5.000.000;Fortalecer la seguridad hídrica;La Unión;211
Mejorar la gestión y eficiencia del uso del agua a nivel domiciliario y de espacios públicos en zonas urbanas y rurales;Adaptación;Seguridad Hídrica 1.8;Implementar sistemas de riego eficientes, por goteo y con detección de fugas, en plazas y parques de la comuna.;Departamento de Medio Ambiente, Aseo y Ornato SECPLAN Desarrollo Rural DIDECO;SEREMI MINVU CONAF COMITéS APRs;Fondos GORE (FNDR, FRIL FIC-R) Fondos SUBDERE - Programa Mejoramiento Urbano y equipamiento comunal (PMU) Fondos MOP (programas específicos del MOP para mejorar la infraestructura hídrica y tecnológica, programa de financiamiento APRs) Fondos propios del municipio;Coordinación con Comités de APR en la comuna y diagnóstico del estado de los mismos, en cuanto al nivel de eficiencia hídrica y pérdidas en los sistemas. Actualización del PRC, urbanizando zonas densamente pobladas con escasez hídrica sin infraestructura de agua potable y alcantarillado. Incorporar en Plan Regulador Intercomunal de Borde Costero las zonas rurales con riesgo de escasez hídrica.;Indicador 1 Porcentaje de viviendas con soluciones implementadas, en base al total identificado. Indicador 2 Ahorro de agua en riego municipal con respecto a la línea base;Suscripción de contrato con proveedor.;2030;$1.140.000;Fortalecer la seguridad hídrica;La Unión;211
Mejorar la gestión y eficiencia del uso del agua a nivel domiciliario y de espacios públicos en zonas urbanas y rurales;Adaptación;Seguridad Hídrica 1.9;Implementar un programa de monitoreo y mantención de sistemas de riego;Departamento de Medio Ambiente, Aseo y Ornato SECPLAN Desarrollo Rural DIDECO;SEREMI MINVU CONAF COMITéS APRs;Fondos GORE (FNDR, FRIL FIC-R) Fondos SUBDERE - Programa Mejoramiento Urbano y equipamiento comunal (PMU) Fondos MOP (programas específicos del MOP para mejorar la infraestructura hídrica y tecnológica, programa de financiamiento APRs) Fondos propios del municipio;Coordinación con Comités de APR en la comuna y diagnóstico del estado de los mismos, en cuanto al nivel de eficiencia hídrica y pérdidas en los sistemas. Actualización del PRC, urbanizando zonas densamente pobladas con escasez hídrica sin infraestructura de agua potable y alcantarillado. Incorporar en Plan Regulador Intercomunal de Borde Costero las zonas rurales con riesgo de escasez hídrica.;Indicador 1 Porcentaje de viviendas con soluciones implementadas, en base al total identificado. Indicador 2 Ahorro de agua en riego municipal con respecto a la línea base;Programa de monitoreo y mantención disponible;2030;$159.600;Fortalecer la seguridad hídrica;La Unión;212
Aumento del uso sostenible y eficiente de los recursos hídricos en el sector agropecuario;Adaptación;Seguridad Hídrica 2.1;Levantar información y sistematizar listado de productores agrícolas de la comuna en base a tamaño de propietario, con el objetivo de focalizar esfuerzos de apoyo en la postulación a fondos concursables.;Desarrollo Económico;INIA, CONADI, CNR e INDAP Productores agropecuarios;Financiamiento sectorial del Ministerio de Agricultura (INDAP, INIA y CNR), Ministerio de Desarrollo Social y Familia (CONADI), Ministerio de Economía, Fomento y Turismo (CORFO).;Coordinación con productores locales de diversos tamaños, usando las instancias de coordinación existentes o creando nuevas.;Indicador 1 Número de productores con infraestructura de riego eficiente y/o captación de aguas lluvia.;Sistematización de productores por tamaño, localidad y tipo de riego;2030;$3.000.000;Fortalecer la seguridad hídrica;La Unión;212
Aumento del uso sostenible y eficiente de los recursos hídricos en el sector agropecuario;Adaptación;Seguridad Hídrica 2.2;Difundir y asesorar a productores, (en base a tamaño) para la postulación de proyectos de riego tecnificado y captación de aguas lluvia en base a los fondos existentes.;Desarrollo Económico;INIA, CONADI, CNR e INDAP Productores agropecuarios;Financiamiento sectorial del Ministerio de Agricultura (INDAP, INIA y CNR), Ministerio de Desarrollo Social y Familia (CONADI), Ministerio de Economía, Fomento y Turismo (CORFO).;Coordinación con productores locales de diversos tamaños, usando las instancias de coordinación existentes o creando nuevas.;Indicador 1 Número de productores con infraestructura de riego eficiente y/o captación de aguas lluvia.;Registros de actividades de difusión y asesoramiento.;2030;$4.500.000;Fortalecer la seguridad hídrica;La Unión;213
Aumento del uso sostenible y eficiente de los recursos hídricos en el sector agropecuario;Adaptación;Seguridad Hídrica 2.3;Gestión de talleres y charlas informativas de INIA a nivel local sobre "Programas de capacitación en el ámbito de recursos hídricos y riego para asesores técnicos y productores", que incluya soluciones que se adapten al cambio climático, apoyando al menos con la facilitación de lugares y contacto con productores locales.;Desarrollo Económico;INIA, CONADI, CNR e INDAP Productores agropecuarios;Financiamiento sectorial del Ministerio de Agricultura (INDAP, INIA y CNR), Ministerio de Desarrollo Social y Familia (CONADI), Ministerio de Economía, Fomento y Turismo (CORFO).;Coordinación con productores locales de diversos tamaños, usando las instancias de coordinación existentes o creando nuevas.;Indicador 1 Número de productores con infraestructura de riego eficiente y/o captación de aguas lluvia.;Oficio a INIA con solicitud de implementar charlas bajo su programa "Capacitación en Recursos Hídricos";2030;$0;Fortalecer la seguridad hídrica;La Unión;213
Aumento del uso sostenible y eficiente de los recursos hídricos en el sector agropecuario;Adaptación;Seguridad Hídrica 2.4;Solicitar a DGA el monitoreo de extracción de aguas subterráneas sector rural;Desarrollo Económico;INIA, CONADI, CNR e INDAP Productores agropecuarios;Financiamiento sectorial del Ministerio de Agricultura (INDAP, INIA y CNR), Ministerio de Desarrollo Social y Familia (CONADI), Ministerio de Economía, Fomento y Turismo (CORFO).;Coordinación con productores locales de diversos tamaños, usando las instancias de coordinación existentes o creando nuevas.;Indicador 1 Número de productores con infraestructura de riego eficiente y/o captación de aguas lluvia.;Oficio a DGA con solicitud de cumplimiento de la Ley;2030;$0;Fortalecer la seguridad hídrica;La Unión;214
Promover la diversificación de la calefacción en sectores urbanos de la comuna;Mitigación - Adaptación;Energía Sustentable 1.1;Coordinar con la SEREMI de Energía la difusión, y con CONAF el apoyo técnico a productores locales para obtener el sello de calidad.;Fomento Productivo;CONAF SEREMI de Energía SEREMI del Medio Ambiente;Presupuesto sectorial del Ministerio de Energía por medio de sus programas activos Gobierno Regional;Uso del listado disponible en www.sellocalidadlena.cl Coordinación con el área de Dendroenergía de CONAF para dar apoyo técnico a productores que quieran obtener el sello de calidad.;Indicador 1 Porcentaje de productores de leña certificados con el "Sello Calidad de Leña". Indicador 2 Porcentaje de leña comprada por la Municipalidad que cuenta con sello de calidad.;Convenio de colaboración firmado o mesa de trabajo implementada con CONAF y/o SEREMI de Energía;2030;$0;Energía sustentable;La Unión;226
Promover la diversificación de la calefacción en sectores urbanos de la comuna;Mitigación - Adaptación;Energía Sustentable 1.2;Incorporación del Sello de Calidad de Leña (mientras este se encuentre vigente y/o su equivalente) y de origen comunal, como criterio de compra pública de leña para edificios de administración municipal.;Fomento Productivo;CONAF SEREMI de Energía SEREMI del Medio Ambiente;Presupuesto sectorial del Ministerio de Energía por medio de sus programas activos Gobierno Regional;Uso del listado disponible en www.sellocalidadlena.cl Coordinación con el área de Dendroenergía de CONAF para dar apoyo técnico a productores que quieran obtener el sello de calidad.;Indicador 1 Porcentaje de productores de leña certificados con el "Sello Calidad de Leña". Indicador 2 Porcentaje de leña comprada por la Municipalidad que cuenta con sello de calidad.;Criterios de compra incorporados;2030;$0;Energía sustentable;La Unión;226
Promover la diversificación de la calefacción en sectores urbanos de la comuna;Mitigación - Adaptación;Energía Sustentable 1.3;Poner a disposición la información, requisitos y apoyo en la postulación al Fondo Concursable Leña Más Seca de la Agencia de Sostenibilidad Energética para productores locales;Fomento Productivo;CONAF SEREMI de Energía SEREMI del Medio Ambiente;Presupuesto sectorial del Ministerio de Energía por medio de sus programas activos Gobierno Regional;Uso del listado disponible en www.sellocalidadlena.cl Coordinación con el área de Dendroenergía de CONAF para dar apoyo técnico a productores que quieran obtener el sello de calidad.;Indicador 1 Porcentaje de productores de leña certificados con el "Sello Calidad de Leña". Indicador 2 Porcentaje de leña comprada por la Municipalidad que cuenta con sello de calidad.;Publicación en redes sociales o medios de verificación de campaña o talleres realizados;2030;$500.000;Energía sustentable;La Unión;227
Promover la diversificación de la calefacción en sectores urbanos de la comuna;Mitigación - Adaptación;Energía Sustentable 1.4;Poner a disposición para consumidores, el listado de productores locales con certificación de Sello de Calidad en la comuna, a través de diferentes medios de comunicación, tales como medios digitales, prensa escrita, en oficinas presenciales.;Fomento Productivo;CONAF SEREMI de Energía SEREMI del Medio Ambiente;Presupuesto sectorial del Ministerio de Energía por medio de sus programas activos Gobierno Regional;Uso del listado disponible en www.sellocalidadlena.cl Coordinación con el área de Dendroenergía de CONAF para dar apoyo técnico a productores que quieran obtener el sello de calidad.;Indicador 1 Porcentaje de productores de leña certificados con el "Sello Calidad de Leña". Indicador 2 Porcentaje de leña comprada por la Municipalidad que cuenta con sello de calidad.;Listado de productores publicados en los medios locales;2030;$3.000.000;Energía sustentable;La Unión;227
Promover la diversificación de la calefacción en sectores urbanos de la comuna;Mitigación - Adaptación;Energía Sustentable 1.5;Coordinar con Gobierno Regional y/o la SEREMI del Medio Ambiente, la ejecución de un proyecto de recambio de calefactores para la comuna donde se instalen soluciones bajas en emisiones de GEI.;Fomento Productivo;CONAF SEREMI de Energía SEREMI del Medio Ambiente;Presupuesto sectorial del Ministerio de Energía por medio de sus programas activos Gobierno Regional;Uso del listado disponible en www.sellocalidadlena.cl Coordinación con el área de Dendroenergía de CONAF para dar apoyo técnico a productores que quieran obtener el sello de calidad.;Indicador 1 Porcentaje de productores de leña certificados con el "Sello Calidad de Leña". Indicador 2 Porcentaje de leña comprada por la Municipalidad que cuenta con sello de calidad.;Oficio enviado, o mesa de trabajo constituida, o convenio de colaboración establecido.;2030;$0;Energía sustentable;La Unión;228
Promover la aislación térmica en viviendas nuevas y existentes, en sectores urbano y rural;Mitigación;Energía Sustentable 2.1;Establecer un convenio de colaboración o mesa de trabajo con el MINVU que apunte a mejorar la aislación térmica de las viviendas.;Dirección de Desarrollo Comunitario (DIDECO);SEREMI MINVU SERVIU;Fondos sectoriales del MINVU, principalmente a través de su Programa de Protección del Patrimonio Familiar (PPPF) del Ministerio de Vivienda y Urbanismo (MINVU). Programa de Mejoramiento Urbano (PMU) de la Subdere;Coordinación con MINVU a través de Convenio de Colaboración o mesa de trabajo.;Indicador 1 Porcentaje de viviendas en la comuna con subsidio de aislación térmica incorporado;Convenio de colaboración iniciado o mesa de trabajo establecida;2030;$0;Energía sustentable;La Unión;229
Promover la aislación térmica en viviendas nuevas y existentes, en sectores urbano y rural;Mitigación;Energía Sustentable 2.2;Ejecutar campaña de educación en torno a la aislación térmica de viviendas.;Dirección de Desarrollo Comunitario (DIDECO);SEREMI MINVU SERVIU;Fondos sectoriales del MINVU, principalmente a través de su Programa de Protección del Patrimonio Familiar (PPPF) del Ministerio de Vivienda y Urbanismo (MINVU). Programa de Mejoramiento Urbano (PMU) de la Subdere;Coordinación con MINVU a través de Convenio de Colaboración o mesa de trabajo.;Indicador 1 Porcentaje de viviendas en la comuna con subsidio de aislación térmica incorporado;Registro de actividades educativas implementadas;2030;$4.000.000;Energía sustentable;La Unión;229
Promover la aislación térmica en viviendas nuevas y existentes, en sectores urbano y rural;Mitigación;Energía Sustentable 2.3;Evaluar e implementar la inclusión de criterios de eficiencia energética en bases de licitación de proyectos municipales, incluyendo aislación térmica.;Dirección de Desarrollo Comunitario (DIDECO);SEREMI MINVU SERVIU;Fondos sectoriales del MINVU, principalmente a través de su Programa de Protección del Patrimonio Familiar (PPPF) del Ministerio de Vivienda y Urbanismo (MINVU). Programa de Mejoramiento Urbano (PMU) de la Subdere;Coordinación con MINVU a través de Convenio de Colaboración o mesa de trabajo.;Indicador 1 Porcentaje de viviendas en la comuna con subsidio de aislación térmica incorporado;Instructivo interno difundido;2030;$2.500.000;Energía sustentable;La Unión;230
Fomento del uso de modos de transporte no motorizados;Mitigación;Movilidad Sustentable 1.1;Identificar a nivel de perfil de posibles ciclovías a desarrollar en la comuna.;SECPLAN;SEREMI MTT, SERVIU, MOP;GORE para el financiamiento (diseño y/o construcción) de proyectos de ciclovías y/o la instalación de bicicleteros. Se puede evaluar ejecutar un convenio de programación. Serviu para el financiamiento de diseño y/o construcción de ciclovías urbanas. MOP para el financiamiento de diseño y/o construcción de ciclovías interurbanas MINVU a través de financiamiento sectorial. Uso de la Ley de aporte a espacios públicos;Coordinación con SERVIU para trazado de ciclovías. Fomentar los negocios, empresas y/o iniciativas vinculados al ciclismo, dándoles más visibilidad. Fomentar desde la Oficina de Deportes organizando actividades asociadas a estos medios de transporte.;Indicador 1 Porcentaje de viajes realizados en bicicleta y caminata dentro de la comuna.;Estudio de perfil con el trazado y priorización de posibles ciclovías a desarrollar en la comuna.;2027;$10.000.000;Movilidad sostenible;La Unión;239
Fomento del uso de modos de transporte no motorizados;Mitigación;Movilidad Sustentable 1.2;Solicitar financiamiento para el diseño de las principales ciclovías identificadas (arquitectura, ingeniería y especialidades) y/o construcción de estas.;SECPLAN;SEREMI MTT, SERVIU, MOP;GORE para el financiamiento (diseño y/o construcción) de proyectos de ciclovías y/o la instalación de bicicleteros. Se puede evaluar ejecutar un convenio de programación. Serviu para el financiamiento de diseño y/o construcción de ciclovías urbanas. MOP para el financiamiento de diseño y/o construcción de ciclovías interurbanas MINVU a través de financiamiento sectorial. Uso de la Ley de aporte a espacios públicos;Coordinación con SERVIU para trazado de ciclovías. Fomentar los negocios, empresas y/o iniciativas vinculados al ciclismo, dándoles más visibilidad. Fomentar desde la Oficina de Deportes organizando actividades asociadas a estos medios de transporte.;Indicador 1 Porcentaje de viajes realizados en bicicleta y caminata dentro de la comuna.;Solicitud de financiamiento al GORE, Serviu y/o MOP para desarrollar estudio de diseño y/o la construcción de las principales ciclovías identificadas.;2030;$0;Movilidad sostenible;La Unión;240
Fomento del uso de modos de transporte no motorizados;Mitigación;Movilidad Sustentable 1.3;Instalar bicicleteros en sectores estratégicos de la comuna.;SECPLAN;SEREMI MTT, SERVIU, MOP;GORE para el financiamiento (diseño y/o construcción) de proyectos de ciclovías y/o la instalación de bicicleteros. Se puede evaluar ejecutar un convenio de programación. Serviu para el financiamiento de diseño y/o construcción de ciclovías urbanas. MOP para el financiamiento de diseño y/o construcción de ciclovías interurbanas MINVU a través de financiamiento sectorial. Uso de la Ley de aporte a espacios públicos;Coordinación con SERVIU para trazado de ciclovías. Fomentar los negocios, empresas y/o iniciativas vinculados al ciclismo, dándoles más visibilidad. Fomentar desde la Oficina de Deportes organizando actividades asociadas a estos medios de transporte.;Indicador 1 Porcentaje de viajes realizados en bicicleta y caminata dentro de la comuna.;Contrato tramitado con proveedor de bicicleteros.;2027;$5.000.000;Movilidad sostenible;La Unión;240
Fomento del uso de modos de transporte no motorizados;Mitigación;Movilidad Sustentable 1.4;Realizar campañas que inviten a los habitantes de la comuna a usar modos de transporte activos.;SECPLAN;SEREMI MTT, SERVIU, MOP;GORE para el financiamiento (diseño y/o construcción) de proyectos de ciclovías y/o la instalación de bicicleteros. Se puede evaluar ejecutar un convenio de programación. Serviu para el financiamiento de diseño y/o construcción de ciclovías urbanas. MOP para el financiamiento de diseño y/o construcción de ciclovías interurbanas MINVU a través de financiamiento sectorial. Uso de la Ley de aporte a espacios públicos;Coordinación con SERVIU para trazado de ciclovías. Fomentar los negocios, empresas y/o iniciativas vinculados al ciclismo, dándoles más visibilidad. Fomentar desde la Oficina de Deportes organizando actividades asociadas a estos medios de transporte.;Indicador 1 Porcentaje de viajes realizados en bicicleta y caminata dentro de la comuna.;Registros de campaña de comunicación;2030;$3.000.000;Movilidad sostenible;La Unión;241
Fomento del uso de modos de transporte no motorizados;Mitigación;Movilidad Sustentable 1.5;Mejorar la accesibilidad de rutas peatonales, identificando las principales rutas peatonales de la ciudad, evaluando su accesibilidad e identificando las zonas que requieren la instalación de rebajes de vereda.;SECPLAN;SEREMI MTT, SERVIU, MOP;GORE para el financiamiento (diseño y/o construcción) de proyectos de ciclovías y/o la instalación de bicicleteros. Se puede evaluar ejecutar un convenio de programación. Serviu para el financiamiento de diseño y/o construcción de ciclovías urbanas. MOP para el financiamiento de diseño y/o construcción de ciclovías interurbanas MINVU a través de financiamiento sectorial. Uso de la Ley de aporte a espacios públicos;Coordinación con SERVIU para trazado de ciclovías. Fomentar los negocios, empresas y/o iniciativas vinculados al ciclismo, dándoles más visibilidad. Fomentar desde la Oficina de Deportes organizando actividades asociadas a estos medios de transporte.;Indicador 1 Porcentaje de viajes realizados en bicicleta y caminata dentro de la comuna.;Mapa detallado de accesibilidad peatonal desarrollado.;2027;$10.000.000;Movilidad sostenible;La Unión;241
Fomento a la electromovilidad en el sector privado y municipal;Mitigación;Movilidad Sustentable 2.1;Crear mesa de trabajo o convenio de colaboración con empresas de estaciones de servicio o distribuidoras de electricidad, para la instalación de puntos de carga de vehículos eléctricos disponibles al público.;SECPLAN;Privados, Gobierno Regional, SEREMI Energía;Financiamiento privado. Financiamiento sectorial desde la SUBDERE, Ministerio de Transporte y Telecomunicaciones. Financiamiento regional desde el GORE y presupuesto municipal.;Coordinación con SEREMI de Energía y empresas de estaciones de servicios y/o distribuidora eléctrica local para instalación de un punto de carga.;Indicador 1 Cantidad de cargadores instalados en la comuna.;Mesa de trabajo establecida o convenio de colaboración firmado.;2025;$0;Movilidad sostenible;La Unión;242
